ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt,Maturity
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4100,10,European,1.2,1.4,28.83830289,0.643293664,1.265246474,-0.013253681,0.316011802,4.880168983399789e-05,-0.175132878,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4125,10,European,1.3,1.5,27.96312474,0.643293664,1.379974329,-0.014732706,0.346181239,5.615731733093592e-05,-0.189483404,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4150,10,European,1.4,1.6,27.08702946,0.643293664,1.509295559,-0.016428101,0.380095175,6.493669425834122e-05,-0.205592071,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4175,10,European,1.6,1.8,26.21006524,0.643293664,1.65582822,-0.018381287,0.418359063,7.547723470141876e-05,-0.223741018,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4200,10,European,449.3,451.2,25.33227894,0.643293664,450.1943845,0.974530227,0.461696813,9.638196670654546e-05,-0.266893338,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4200,10,European,1.7,1.9,25.33227894,0.643293664,1.82279357,-0.020643528,0.461696813,8.893895792722036e-05,-0.246282745,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4225,10,European,424.5,426.5,24.46294409,0.643293664,425.4344158,0.971854767,0.511720529,0.000106963,-0.27621297,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4225,10,European,1.9,2.1,24.46294409,0.643293664,2.018903527,-0.023318988,0.511720529,0.000106963,-0.27621297,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4250,10,European,399.8,401.8,23.61111555,0.643293664,400.7152991,0.968627014,0.570471079,0.000130195,-0.31320022,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4250,10,European,2.2,2.4,23.61111555,0.643293664,2.255865409,-0.026546741,0.570471079,0.000130195,-0.31320022,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4275,10,European,375.1,377.1,22.77651557,0.643293664,376.0470325,0.964711635,0.639632218,0.000159339,-0.356689409,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4275,10,European,2.4,2.7,22.77651557,0.643293664,2.543677487,-0.03046212,0.639632218,0.000159339,-0.356689409,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4300,10,European,350.5,352.5,21.95887213,0.643293664,351.442503,0.959936047,0.721202413,0.000196521,-0.408904356,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4300,10,European,2.7,3,21.95887213,0.643293664,2.895226693,-0.035237708,0.721202413,0.000196521,-0.408904356,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4325,10,European,325.9,327.9,21.16143706,0.643293664,326.9212794,0.954054958,0.817926454,0.000244591,-0.472633175,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4325,10,European,3.2,3.4,21.16143706,0.643293664,3.330081707,-0.041118796,0.817926454,0.000244591,-0.472633175,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
