ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4225,10,European,434.6,449.4,24.65559465,1.493970761,447.130388,0.976031245,0.435845991,8.60529E-05,-0.227865088,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4225,10,European,1.4,1.9,24.65559465,1.493970761,1.640075127,-0.019181135,0.435845991,7.92603E-05,-0.209878511,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4250,10,European,409.8,424.7,23.76130842,1.493970761,422.3370866,0.973645441,0.481369349,9.50095E-05,-0.233662539,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4250,10,European,1.5,2,23.76130842,1.493970761,1.802852417,-0.021566938,0.481369349,9.50095E-05,-0.233662539,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4275,10,European,385.1,406.5,22.8774795,1.493970761,397.5745259,0.970793986,0.534431949,0.000114643,-0.26136401,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4275,10,European,1.7,2.3,22.8774795,1.493970761,1.996370376,-0.024418394,0.534431949,0.000114643,-0.26136401,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4300,10,European,360.3,375.2,22.00395562,1.493970761,372.8500352,0.967362863,0.596532392,0.000139291,-0.293767958,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4300,10,European,1.9,2.6,22.00395562,1.493970761,2.227958311,-0.027849517,0.596532392,0.000139291,-0.293767958,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4325,10,European,335.7,350.5,21.14058754,1.493970761,348.1730817,0.963205082,0.669491743,0.00017045,-0.33182793,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4325,10,European,2,3,21.14058754,1.493970761,2.507083473,-0.032007297,0.669491743,0.00017045,-0.33182793,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4350,10,European,311.1,325.8,20.28722891,1.493970761,323.5559942,0.95812998,0.75551497,0.000212193,-0.38041592,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4350,10,European,2.2,3.3,20.28722891,1.493970761,2.846074668,-0.037082399,0.75551497,0.000212193,-0.38041592,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4375,10,European,286.7,307.9,19.45787248,1.493970761,299.0270918,0.951777126,0.859036784,0.000270405,-0.445950996,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4375,10,European,2.7,3.9,19.45787248,1.493970761,3.273250865,-0.043435254,0.859036784,0.000270405,-0.445950996,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4400,10,European,262.3,276.9,18.66619203,1.493970761,274.6266066,0.943650167,0.985545468,0.000348602,-0.529081058,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4400,10,European,3.2,4.3,18.66619203,1.493970761,3.828844369,-0.051562213,0.985545468,0.000348602,-0.529081058,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4425,10,European,238.2,252.7,17.91157447,1.493970761,250.3961172,0.93321607,1.139475053,0.000450713,-0.629867762,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4425,10,European,3.9,5.3,17.91157447,1.493970761,4.554433582,-0.061996309,1.139475053,0.000450713,-0.629867762,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4450,10,European,214.4,228.7,17.19341916,1.493970761,226.3919106,0.919787818,1.32542459,0.000581799,-0.749167847,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4450,10,European,5.1,6,17.19341916,1.493970761,5.506305658,-0.075424561,1.32542459,0.000581799,-0.749167847,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4475,10,European,191.1,211.1,16.50416388,1.493970761,202.6790047,0.902586619,1.546439258,0.000747243,-0.886604634,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4475,10,European,6.3,7.2,16.50416388,1.493970761,6.74947843,-0.092625761,1.546439258,0.000747243,-0.886604634,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4500,10,European,167.9,181.6,15.83641341,1.493970761,179.3408193,0.88066821,1.804089143,0.000956187,-1.044570575,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4500,10,European,8,8.7,15.83641341,1.493970761,8.367371607,-0.11454417,1.804089143,0.000956187,-1.044570575,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4525,10,European,145.6,158.7,15.18983187,1.493970761,156.4978476,0.852806468,2.098346878,0.001218388,-1.224539471,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4525,10,European,10.1,10.8,15.18983187,1.493970761,10.48047862,-0.142405912,2.098346878,0.001218388,-1.224539471,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4550,10,European,132,136.5,14.56409,1.493970761,134.3067238,0.817588038,2.424472332,0.00155064,-1.43271281,0,TRUE,"01/31/2024, 08:05:00"
