,Instrument,Date,Maturity,PUTCALLIND,Strike,Close,Imp_Vol
71,/GDAX77500F0.EX,15/05/2020,19/06/2020,CALL,7750,2610.3,57.93
72,/GDAX77500R0.EX,15/05/2020,19/06/2020,PUT ,7750,41.4,57.46
73,/GDAX78000F0.EX,15/05/2020,19/06/2020,CALL,7800,2562.2,57.39
74,/GDAX78000R0.EX,15/05/2020,19/06/2020,PUT ,7800,43.3,56.97
75,/GDAX78500F0.EX,15/05/2020,19/06/2020,CALL,7850,2514.2,56.9
76,/GDAX78500R0.EX,15/05/2020,19/06/2020,PUT ,7850,45.3,56.46
77,/GDAX79000F0.EX,15/05/2020,19/06/2020,CALL,7900,2466.2,56.39
78,/GDAX79000R0.EX,15/05/2020,19/06/2020,PUT ,7900,47.4,55.99
79,/GDAX79500F0.EX,15/05/2020,19/06/2020,CALL,7950,2418.4,55.86
80,/GDAX79500R0.EX,15/05/2020,19/06/2020,PUT ,7950,49.6,55.5
81,/GDAX80000F0.EX,15/05/2020,19/06/2020,CALL,8000,2370.6,55.36
82,/GDAX80000R0.EX,15/05/2020,19/06/2020,PUT ,8000,51.8,55.01
83,/GDAX80500F0.EX,15/05/2020,19/06/2020,CALL,8050,2323,54.84
84,/GDAX80500R0.EX,15/05/2020,19/06/2020,PUT ,8050,54.2,54.5
85,/GDAX81000F0.EX,15/05/2020,19/06/2020,CALL,8100,2275.4,54.33
86,/GDAX81000R0.EX,15/05/2020,19/06/2020,PUT ,8100,56.8,54.03
87,/GDAX81500F0.EX,15/05/2020,19/06/2020,CALL,8150,2228.1,53.82
88,/GDAX81500R0.EX,15/05/2020,19/06/2020,PUT ,8150,59.4,53.52
89,/GDAX82000F0.EX,15/05/2020,19/06/2020,CALL,8200,2180.8,53.31
90,/GDAX82000R0.EX,15/05/2020,19/06/2020,PUT ,8200,62.2,53.05
91,/GDAX82500F0.EX,15/05/2020,19/06/2020,CALL,8250,2133.7,52.81
92,/GDAX82500R0.EX,15/05/2020,19/06/2020,PUT ,8250,65.1,52.55
93,/GDAX83000F0.EX,15/05/2020,19/06/2020,CALL,8300,2086.8,52.32
94,/GDAX83000R0.EX,15/05/2020,19/06/2020,PUT ,8300,68.2,52.07
95,/GDAX83500F0.EX,15/05/2020,19/06/2020,CALL,8350,2040,51.81
96,/GDAX83500R0.EX,15/05/2020,19/06/2020,PUT ,8350,71.5,51.57
97,/GDAX84000F0.EX,15/05/2020,19/06/2020,CALL,8400,1993.4,51.3
98,/GDAX84000R0.EX,15/05/2020,19/06/2020,PUT ,8400,74.9,51.08
99,/GDAX84500F0.EX,15/05/2020,19/06/2020,CALL,8450,1946.9,50.81
100,/GDAX84500R0.EX,15/05/2020,19/06/2020,PUT ,8450,78.5,50.59
101,/GDAX85000F0.EX,15/05/2020,19/06/2020,CALL,8500,1900.6,50.29
102,/GDAX85000R0.EX,15/05/2020,19/06/2020,PUT ,8500,82.2,50.1
103,/GDAX85500F0.EX,15/05/2020,19/06/2020,CALL,8550,1854.5,49.81
104,/GDAX85500R0.EX,15/05/2020,19/06/2020,PUT ,8550,86.1,49.62
105,/GDAX86000F0.EX,15/05/2020,19/06/2020,CALL,8600,1808.6,49.29
106,/GDAX86000R0.EX,15/05/2020,19/06/2020,PUT ,8600,90.3,49.13
107,/GDAX86500F0.EX,15/05/2020,19/06/2020,CALL,8650,1762.8,48.81
108,/GDAX86500R0.EX,15/05/2020,19/06/2020,PUT ,8650,94.6,48.65
109,/GDAX87000F0.EX,15/05/2020,19/06/2020,CALL,8700,1717.3,48.32
110,/GDAX87000R0.EX,15/05/2020,19/06/2020,PUT ,8700,99.1,48.16
111,/GDAX87500F0.EX,15/05/2020,19/06/2020,CALL,8750,1672,47.83
112,/GDAX87500R0.EX,15/05/2020,19/06/2020,PUT ,8750,103.8,47.69
113,/GDAX88000F0.EX,15/05/2020,19/06/2020,CALL,8800,1626.9,47.35
114,/GDAX88000R0.EX,15/05/2020,19/06/2020,PUT ,8800,108.8,47.21
115,/GDAX88500F0.EX,15/05/2020,19/06/2020,CALL,8850,1582,46.87
116,/GDAX88500R0.EX,15/05/2020,19/06/2020,PUT ,8850,113.9,46.73
117,/GDAX89000F0.EX,15/05/2020,19/06/2020,CALL,8900,1537.4,46.39
118,/GDAX89000R0.EX,15/05/2020,19/06/2020,PUT ,8900,119.3,46.25
119,/GDAX89500F0.EX,15/05/2020,19/06/2020,CALL,8950,1492.9,45.91
120,/GDAX89500R0.EX,15/05/2020,19/06/2020,PUT ,8950,124.9,45.79
121,/GDAX90000F0.EX,15/05/2020,19/06/2020,CALL,9000,1448.7,45.42
122,/GDAX90000R0.EX,15/05/2020,19/06/2020,PUT ,9000,130.7,45.32
123,/GDAX90500F0.EX,15/05/2020,19/06/2020,CALL,9050,1404.7,44.95
124,/GDAX90500R0.EX,15/05/2020,19/06/2020,PUT ,9050,136.7,44.85
125,/GDAX91000F0.EX,15/05/2020,19/06/2020,CALL,9100,1361,44.49
126,/GDAX91000R0.EX,15/05/2020,19/06/2020,PUT ,9100,143.1,44.39
127,/GDAX91500F0.EX,15/05/2020,19/06/2020,CALL,9150,1317.6,44.02
128,/GDAX91500R0.EX,15/05/2020,19/06/2020,PUT ,9150,149.7,43.92
129,/GDAX92000F0.EX,15/05/2020,19/06/2020,CALL,9200,1274.5,43.55
130,/GDAX92000R0.EX,15/05/2020,19/06/2020,PUT ,9200,156.6,43.45
131,/GDAX92500F0.EX,15/05/2020,19/06/2020,CALL,9250,1231.7,43.07
132,/GDAX92500R0.EX,15/05/2020,19/06/2020,PUT ,9250,163.9,43
133,/GDAX93000F0.EX,15/05/2020,19/06/2020,CALL,9300,1189.3,42.6
134,/GDAX93000R0.EX,15/05/2020,19/06/2020,PUT ,9300,171.5,42.53
135,/GDAX93500F0.EX,15/05/2020,19/06/2020,CALL,9350,1147.1,42.14
136,/GDAX93500R0.EX,15/05/2020,19/06/2020,PUT ,9350,179.5,42.06
137,/GDAX94000F0.EX,15/05/2020,19/06/2020,CALL,9400,1105.5,41.65
138,/GDAX94000R0.EX,15/05/2020,19/06/2020,PUT ,9400,187.8,41.58
139,/GDAX94500F0.EX,15/05/2020,19/06/2020,CALL,9450,1064.2,41.18
140,/GDAX94500R0.EX,15/05/2020,19/06/2020,PUT ,9450,196.6,41.12
141,/GDAX95000F0.EX,15/05/2020,19/06/2020,CALL,9500,1023.3,40.69
142,/GDAX95000R0.EX,15/05/2020,19/06/2020,PUT ,9500,205.7,40.63
143,/GDAX95500F0.EX,15/05/2020,19/06/2020,CALL,9550,982.9,40.22
144,/GDAX95500R0.EX,15/05/2020,19/06/2020,PUT ,9550,215.3,40.16
145,/GDAX96000F0.EX,15/05/2020,19/06/2020,CALL,9600,942.9,39.74
146,/GDAX96000R0.EX,15/05/2020,19/06/2020,PUT ,9600,225.3,39.69
147,/GDAX96500F0.EX,15/05/2020,19/06/2020,CALL,9650,903.3,39.27
148,/GDAX96500R0.EX,15/05/2020,19/06/2020,PUT ,9650,235.7,39.22
149,/GDAX97000F0.EX,15/05/2020,19/06/2020,CALL,9700,864.3,38.77
150,/GDAX97000R0.EX,15/05/2020,19/06/2020,PUT ,9700,246.7,38.74
151,/GDAX97500F0.EX,15/05/2020,19/06/2020,CALL,9750,825.8,38.3
152,/GDAX97500R0.EX,15/05/2020,19/06/2020,PUT ,9750,258.4,38.26
153,/GDAX98000F0.EX,15/05/2020,19/06/2020,CALL,9800,787.8,37.83
154,/GDAX98000R0.EX,15/05/2020,19/06/2020,PUT ,9800,270.3,37.79
155,/GDAX98500F0.EX,15/05/2020,19/06/2020,CALL,9850,750.4,37.36
156,/GDAX98500R0.EX,15/05/2020,19/06/2020,PUT ,9850,283.1,37.31
157,/GDAX99000F0.EX,15/05/2020,19/06/2020,CALL,9900,713.7,36.87
158,/GDAX99000R0.EX,15/05/2020,19/06/2020,PUT ,9900,296.3,36.84
159,/GDAX99500F0.EX,15/05/2020,19/06/2020,CALL,9950,677.5,36.4
160,/GDAX99500R0.EX,15/05/2020,19/06/2020,PUT ,9950,310.1,36.37
161,/GDAX100000F0.EX,15/05/2020,19/06/2020,CALL,10000,642,35.92
162,/GDAX100000R0.EX,15/05/2020,19/06/2020,PUT ,10000,324.7,35.89
163,/GDAX100500F0.EX,15/05/2020,19/06/2020,CALL,10050,607.2,35.45
164,/GDAX100500R0.EX,15/05/2020,19/06/2020,PUT ,10050,340.1,35.42
165,/GDAX101000F0.EX,15/05/2020,19/06/2020,CALL,10100,573.1,34.97
166,/GDAX101000R0.EX,15/05/2020,19/06/2020,PUT ,10100,355.9,34.94
167,/GDAX101500F0.EX,15/05/2020,19/06/2020,CALL,10150,539.7,34.49
168,/GDAX101500R0.EX,15/05/2020,19/06/2020,PUT ,10150,372.5,34.46
169,/GDAX102000F0.EX,15/05/2020,19/06/2020,CALL,10200,507.2,34.02
170,/GDAX102000R0.EX,15/05/2020,19/06/2020,PUT ,10200,390,33.99
171,/GDAX102500F0.EX,15/05/2020,19/06/2020,CALL,10250,475.4,33.53
172,/GDAX102500R0.EX,15/05/2020,19/06/2020,PUT ,10250,408.3,33.52
173,/GDAX103000F0.EX,15/05/2020,19/06/2020,CALL,10300,444.5,33.06
174,/GDAX103000R0.EX,15/05/2020,19/06/2020,PUT ,10300,427.5,33.04
175,/GDAX103500F0.EX,15/05/2020,19/06/2020,CALL,10350,414.5,32.57
176,/GDAX103500R0.EX,15/05/2020,19/06/2020,PUT ,10350,447.6,32.56
177,/GDAX104000F0.EX,15/05/2020,19/06/2020,CALL,10400,385.5,32.11
178,/GDAX104000R0.EX,15/05/2020,19/06/2020,PUT ,10400,468.6,32.09
179,/GDAX104500F0.EX,15/05/2020,19/06/2020,CALL,10450,357.4,31.62
180,/GDAX104500R0.EX,15/05/2020,19/06/2020,PUT ,10450,490.6,31.61
181,/GDAX105000F0.EX,15/05/2020,19/06/2020,CALL,10500,330.5,31.16
182,/GDAX105000R0.EX,15/05/2020,19/06/2020,PUT ,10500,513.6,31.14
183,/GDAX105500F0.EX,15/05/2020,19/06/2020,CALL,10550,304.4,30.68
184,/GDAX105500R0.EX,15/05/2020,19/06/2020,PUT ,10550,537.6,30.67
185,/GDAX106000F0.EX,15/05/2020,19/06/2020,CALL,10600,279.4,30.19
186,/GDAX106000R0.EX,15/05/2020,19/06/2020,PUT ,10600,562.6,30.19
187,/GDAX106500F0.EX,15/05/2020,19/06/2020,CALL,10650,255.7,29.74
188,/GDAX106500R0.EX,15/05/2020,19/06/2020,PUT ,10650,588.9,29.73
189,/GDAX107000F0.EX,15/05/2020,19/06/2020,CALL,10700,233,29.29
190,/GDAX107000R0.EX,15/05/2020,19/06/2020,PUT ,10700,616.3,29.29
191,/GDAX107500F0.EX,15/05/2020,19/06/2020,CALL,10750,211.8,28.86
192,/GDAX107500R0.EX,15/05/2020,19/06/2020,PUT ,10750,645.1,28.87
193,/GDAX108000F0.EX,15/05/2020,19/06/2020,CALL,10800,191.6,28.44
194,/GDAX108000R0.EX,15/05/2020,19/06/2020,PUT ,10800,675,28.44
195,/GDAX108500F0.EX,15/05/2020,19/06/2020,CALL,10850,172.9,28.05
196,/GDAX108500R0.EX,15/05/2020,19/06/2020,PUT ,10850,706.4,28.05
197,/GDAX109000F0.EX,15/05/2020,19/06/2020,CALL,10900,155.3,27.65
198,/GDAX109000R0.EX,15/05/2020,19/06/2020,PUT ,10900,738.7,27.65
199,/GDAX109500F0.EX,15/05/2020,19/06/2020,CALL,10950,138.9,27.27
200,/GDAX109500R0.EX,15/05/2020,19/06/2020,PUT ,10950,772.3,27.28
201,/GDAX110000F0.EX,15/05/2020,19/06/2020,CALL,11000,123.6,26.89
202,/GDAX110000R0.EX,15/05/2020,19/06/2020,PUT ,11000,807.1,26.89
203,/GDAX110500F0.EX,15/05/2020,19/06/2020,CALL,11050,109.4,26.5
204,/GDAX110500R0.EX,15/05/2020,19/06/2020,PUT ,11050,843,26.53
205,/GDAX111000F0.EX,15/05/2020,19/06/2020,CALL,11100,96.4,26.14
206,/GDAX111000R0.EX,15/05/2020,19/06/2020,PUT ,11100,880,26.15
207,/GDAX111500F0.EX,15/05/2020,19/06/2020,CALL,11150,84.4,25.77
208,/GDAX111500R0.EX,15/05/2020,19/06/2020,PUT ,11150,918,25.78
209,/GDAX112000F0.EX,15/05/2020,19/06/2020,CALL,11200,73.4,25.39
210,/GDAX112000R0.EX,15/05/2020,19/06/2020,PUT ,11200,957,25.4
211,/GDAX112500F0.EX,15/05/2020,19/06/2020,CALL,11250,63.5,25.01
212,/GDAX112500R0.EX,15/05/2020,19/06/2020,PUT ,11250,997.2,25.03
213,/GDAX113000F0.EX,15/05/2020,19/06/2020,CALL,11300,54.7,24.67
214,/GDAX113000R0.EX,15/05/2020,19/06/2020,PUT ,11300,1038.5,24.69
215,/GDAX113500F0.EX,15/05/2020,19/06/2020,CALL,11350,47.1,24.34
216,/GDAX113500R0.EX,15/05/2020,19/06/2020,PUT ,11350,1080.9,24.39
217,/GDAX114000F0.EX,15/05/2020,19/06/2020,CALL,11400,40.5,24.06
218,/GDAX114000R0.EX,15/05/2020,19/06/2020,PUT ,11400,1124.3,24.1
219,/GDAX114500F0.EX,15/05/2020,19/06/2020,CALL,11450,34.8,23.83
220,/GDAX114500R0.EX,15/05/2020,19/06/2020,PUT ,11450,1168.7,23.86
221,/GDAX115000F0.EX,15/05/2020,19/06/2020,CALL,11500,30,23.65
222,/GDAX115000R0.EX,15/05/2020,19/06/2020,PUT ,11500,1213.9,23.7
223,/GDAX115500F0.EX,15/05/2020,19/06/2020,CALL,11550,25.8,23.51
224,/GDAX115500R0.EX,15/05/2020,19/06/2020,PUT ,11550,1259.8,23.57
225,/GDAX116000F0.EX,15/05/2020,19/06/2020,CALL,11600,22.2,23.41
226,/GDAX116000R0.EX,15/05/2020,19/06/2020,PUT ,11600,1306.2,23.46
227,/GDAX116500F0.EX,15/05/2020,19/06/2020,CALL,11650,19.1,23.33
228,/GDAX116500R0.EX,15/05/2020,19/06/2020,PUT ,11650,1353.2,23.41
229,/GDAX117000F0.EX,15/05/2020,19/06/2020,CALL,11700,16.5,23.26
230,/GDAX117000R0.EX,15/05/2020,19/06/2020,PUT ,11700,1400.5,23.35
231,/GDAX117500F0.EX,15/05/2020,19/06/2020,CALL,11750,14.2,23.23
232,/GDAX117500R0.EX,15/05/2020,19/06/2020,PUT ,11750,1448.3,23.35
233,/GDAX118000F0.EX,15/05/2020,19/06/2020,CALL,11800,12.2,23.22
234,/GDAX118000R0.EX,15/05/2020,19/06/2020,PUT ,11800,1496.3,23.35
235,/GDAX118500F0.EX,15/05/2020,19/06/2020,CALL,11850,10.5,23.23
236,/GDAX118500R0.EX,15/05/2020,19/06/2020,PUT ,11850,1544.7,23.36
237,/GDAX119000F0.EX,15/05/2020,19/06/2020,CALL,11900,9.1,23.25
238,/GDAX119000R0.EX,15/05/2020,19/06/2020,PUT ,11900,1593.3,23.42
239,/GDAX119500F0.EX,15/05/2020,19/06/2020,CALL,11950,7.9,23.32
240,/GDAX119500R0.EX,15/05/2020,19/06/2020,PUT ,11950,1642.1,23.5
241,/GDAX120000F0.EX,15/05/2020,19/06/2020,CALL,12000,6.8,23.4
242,/GDAX120000R0.EX,15/05/2020,19/06/2020,PUT ,12000,1691.1,23.59
243,/GDAX120500F0.EX,15/05/2020,19/06/2020,CALL,12050,6,23.46
244,/GDAX120500R0.EX,15/05/2020,19/06/2020,PUT ,12050,1740.3,23.71
245,/GDAX121000F0.EX,15/05/2020,19/06/2020,CALL,12100,5.2,23.56
246,/GDAX121000R0.EX,15/05/2020,19/06/2020,PUT ,12100,1789.6,23.88
247,/GDAX121500F0.EX,15/05/2020,19/06/2020,CALL,12150,4.6,23.72
248,/GDAX121500R0.EX,15/05/2020,19/06/2020,PUT ,12150,1839,24
249,/GDAX122000F0.EX,15/05/2020,19/06/2020,CALL,12200,4,23.83
250,/GDAX122000R0.EX,15/05/2020,19/06/2020,PUT ,12200,1888.5,24.19
251,/GDAX122500F0.EX,15/05/2020,19/06/2020,CALL,12250,3.6,24.02
252,/GDAX122500R0.EX,15/05/2020,19/06/2020,PUT ,12250,1938.1,24.4
253,/GDAX123000F0.EX,15/05/2020,19/06/2020,CALL,12300,3.2,24.18
254,/GDAX123000R0.EX,15/05/2020,19/06/2020,PUT ,12300,1987.7,24.64
255,/GDAX123500F0.EX,15/05/2020,19/06/2020,CALL,12350,2.9,24.38
256,/GDAX123500R0.EX,15/05/2020,19/06/2020,PUT ,12350,2037.4,24.86
257,/GDAX124000F0.EX,15/05/2020,19/06/2020,CALL,12400,2.6,24.54
258,/GDAX124000R0.EX,15/05/2020,19/06/2020,PUT ,12400,2087.2,25.13
259,/GDAX124500F0.EX,15/05/2020,19/06/2020,CALL,12450,2.4,24.75
